,champions,wins
603,'Fiora**Lux',242
604,'MissFortune**Tryndamere',241
605,'Nocturne**Vayne',241
606,'Hecarim**Lux',241
607,'Kayn**Lulu',241
608,'Diana**Lux',241
609,'Volibear**Yasuo',240
610,'Graves**Teemo',240
611,'Kaisa**Xerath',239
612,'Jinx**Yuumi',239
613,'Ezreal**Galio',239
614,'Kaisa**Lulu',239
615,'Nautilus**Viego',238
616,'Ashe**Pyke',238
617,'Kaisa**Nocturne',238
618,'Jinx**Nautilus',237
619,'Morgana**Teemo',237
620,'Irelia**Senna',237
621,'Diana**Kaisa',236
622,'Ashe**Lulu',236
623,'Akali**Viego',236
624,'Irelia**Samira',236
625,'Amumu**Yone',236
626,'Irelia**Tristana',236
627,'Jhin**TahmKench',236
628,'Ekko**Yuumi',236
629,'Ashe**Darius',236
630,'Nocturne**Yasuo',236
631,'Jayce**Jinx',235
632,'Blitzcrank**MasterYi',235
633,'Jhin**Veigar',235
634,'Lux**Viktor',235
635,'Ezreal**Nami',235
636,'Lucian**Xerath',234
637,'Malphite**MasterYi',234
638,'Kaisa**Khazix',234
639,'Jax**Kaisa',234
640,'Jhin**TwistedFate',234
641,'Jayce**LeeSin',234
642,'LeeSin**Nami',233
643,'Lulu**Viego',233
644,'Akali**Ashe',233
645,'Senna**Sylas',233
646,'Lux**Twitch',233
647,'Ekko**Lulu',232
648,'DrMundo**Ezreal',232
649,'Kaisa**Warwick',232
650,'Caitlyn**Jayce',232
651,'Garen**MasterYi',232
652,'Pyke**Samira',232
653,'Lux**Urgot',232
654,'Lux**Nunu',232
655,'Ashe**Diana',231
656,'Lucian**Pyke',231
657,'Graves**Tristana',231
658,'Kayn**Teemo',231
659,'Ahri**MissFortune',230
660,'Hecarim**Jhin',230
661,'Pyke**Sett',230
662,'Tristana**Yuumi',230
663,'Jhin**Nami',230
664,'Jhin**Trundle',229
665,'Lucian**Senna',229
666,'MasterYi**Senna',229
667,'Graves**Viktor',229
668,'Katarina**Lux',229
669,'Lucian**Mordekaiser',229
670,'Graves**Nautilus',229
671,'Caitlyn**XinZhao',229
672,'Ezreal**TahmKench',229
673,'Ezreal**TwistedFate',229
674,'Diana**Sett',229
675,'Jax**Morgana',228
676,'Garen**Viego',228
677,'Samira**Zed',228
678,'Garen**Thresh',228
679,'Senna**Vayne',228
680,'Irelia**Sylas',228
681,'Brand**Jinx',227
682,'Tristana**Zed',227
683,'MasterYi**Thresh',227
684,'Blitzcrank**Teemo',227
685,'Lucian**Malphite',227
686,'Kayn**Pyke',227
687,'Nunu**Yasuo',226
688,'Lulu**MasterYi',226
689,'Jhin**Shen',226
690,'Jhin**Seraphine',226
691,'Lux**Sivir',226
692,'Darius**Thresh',226
693,'Mordekaiser**Morgana',226
694,'Garen**Yone',226
695,'Ashe**Shaco',226
696,'MissFortune**Pantheon',226
697,'Graves**Zed',225
698,'Lux**TahmKench',225
699,'Leblanc**Thresh',225
700,'MissFortune**Seraphine',225
701,'JarvanIV**Lux',225
702,'Jayce**Lux',225
703,'Camille**Thresh',225
704,'Ekko**Garen',225
705,'Jhin**Nunu',224
706,'Malphite**Viego',224
707,'Lulu**Zed',224
708,'Kaisa**Pantheon',224
709,'MasterYi**Pyke',224
710,'Ashe**Katarina',224
711,'Teemo**Thresh',224
712,'Lux**Renekton',223
713,'MissFortune**XinZhao',223
714,'Garen**LeeSin',223
715,'Alistar**Jhin',223
716,'Ezreal**Riven',223
717,'Camille**Jinx',223
718,'Irelia**Shaco',223
719,'Pyke**Sylas',223
720,'Jinx**Katarina',223
721,'Ezreal**Poppy',222
722,'Kaisa**Yuumi',222
723,'Yasuo**Zyra',222
724,'Katarina**Kayn',222
725,'Kaisa**XinZhao',222
726,'Camille**Lucian',222
727,'Garen**Graves',221
728,'Nami**Yone',221
729,'Ezreal**Kindred',221
730,'Vayne**Volibear',221
731,'Lillia**Yone',221
732,'Ezreal**Ryze',221
733,'Khazix**Thresh',221
734,'Swain**Yasuo',221
735,'Shaco**Zed',221
736,'Talon**Thresh',220
737,'Katarina**Sett',220
738,'Xerath**Zed',220
739,'Pyke**Viego',220
740,'Garen**Xerath',220
741,'Leblanc**Lucian',220
742,'Kayn**Nautilus',220
743,'Camille**Vayne',220
744,'Irelia**Pyke',219
745,'Brand**Kayn',219
746,'Shaco**Tristana',219
747,'Ezreal**Zac',219
748,'Jhin**Zilean',219
749,'Ahri**Vayne',219
750,'Karma**Vayne',219
751,'Graves**Senna',219
752,'Sylas**Tristana',219
753,'Blitzcrank**Tristana',218
754,'Graves**Nami',218
755,'Ahri**Lux',218
756,'Khazix**Yasuo',218
757,'Aatrox**Lux',218
758,'Caitlyn**DrMundo',218
759,'Ekko**Samira',217
760,'Jhin**Urgot',217
761,'DrMundo**Jinx',217
762,'Akali**Morgana',217
763,'Leblanc**Lux',217
764,'Jhin**Lillia',217
765,'Jinx**Nasus',216
766,'Jinx**Volibear',216
767,'Trundle**Vayne',216
768,'Caitlyn**Yuumi',216
769,'Leona**Teemo',216
770,'MasterYi**Samira',216
771,'Garen**Senna',216
772,'Jinx**Soraka',216
773,'Diana**Tristana',215
774,'DrMundo**Yasuo',215
775,'JarvanIV**Vayne',215
776,'Kaisa**Teemo',215
777,'Ezreal**Lillia',215
778,'Malphite**Yone',215
779,'Katarina**Thresh',215
780,'Jhin**Zac',215
781,'Kaisa**Mordekaiser',215
782,'Hecarim**Yasuo',215
783,'Nautilus**Sett',215
784,'Diana**Jinx',214
785,'Senna**Zed',214
786,'Alistar**Ezreal',214
787,'Ezreal**Vladimir',214
788,'Jhin**Poppy',214
789,'Lux**Riven',214
790,'Lux**Xayah',214
791,'Senna**Teemo',214
792,'Jinx**Khazix',214
793,'Amumu**Caitlyn',214
794,'MasterYi**Veigar',213
795,'Teemo**Tristana',213
796,'Yasuo**Ziggs',213
797,'Ezreal**Vayne',213
798,'MasterYi**Zed',213
799,'Lucian**Shaco',213
800,'Caitlyn**Trundle',212
801,'Akali**Sett',212
802,'Nasus**Vayne',212
803,'Caitlyn**Pantheon',212
804,'Akali**Lucian',212
805,'Darius**Ekko',211
806,'Morgana**Volibear',211
807,'Diana**Morgana',211
808,'Lulu**Sett',211
809,'Mordekaiser**Senna',211
810,'Kaisa**Senna',211
811,'Jax**Lucian',211
812,'Ashe**Brand',211
813,'Thresh**Viktor',211
814,'Chogath**Lux',210
815,'Amumu**Irelia',210
816,'Malphite**Samira',210
817,'Jax**Thresh',210
818,'Garen**Leona',210
819,'Graves**Pyke',210
820,'Darius**LeeSin',210
821,'Graves**Malphite',210
822,'JarvanIV**Jhin',210
823,'Akali**Yuumi',210
824,'Diana**Yone',209
825,'Jinx**Senna',209
826,'Jinx**Nami',209
827,'Tristana**Warwick',209
828,'MasterYi**Nautilus',208
829,'Graves**Vex',208
830,'Jhin**Kassadin',208
831,'Nidalee**Yone',208
832,'Brand**Garen',207
833,'Caitlyn**Veigar',207
834,'Twitch**Yone',207
835,'Camille**Kaisa',206
836,'Lux**Poppy',206
837,'Brand**MasterYi',206
838,'Caitlyn**Hecarim',206
839,'DrMundo**MissFortune',206
840,'Ekko**Pyke',206
841,'Caitlyn**Zyra',206
842,'MissFortune**Viktor',206
843,'Akshan**Lux',206
844,'Sylas**XinZhao',205
845,'Thresh**XinZhao',205
846,'Seraphine**Yasuo',205
847,'Diana**Lucian',205
848,'Jinx**Vex',205
849,'Shaco**Sylas',205
850,'Darius**MasterYi',205
851,'Darius**Leona',205
852,'Irelia**Nautilus',205
853,'Jhin**Vladimir',205
854,'Katarina**Yuumi',204
855,'Draven**Lux',204
856,'Vi**Yone',204
857,'XinZhao**Yasuo',204
858,'Malphite**Morgana',204
859,'Kaisa**Nasus',204
860,'Diana**Thresh',204
861,'Hecarim**MissFortune',204
862,'Garen**Yuumi',203
863,'Morgana**Talon',203
864,'Kayn**Mordekaiser',203
865,'Jax**Yone',203
866,'Hecarim**Kaisa',203
867,'Kaisa**Volibear',203
868,'Lux**Zac',203
869,'Jhin**Lulu',203
870,'Nunu**Vayne',202
871,'Jinx**Trundle',202
872,'Teemo**Xerath',202
873,'LeeSin**TwistedFate',202
874,'Amumu**Samira',202
875,'Evelynn**Yasuo',202
876,'JarvanIV**MissFortune',202
877,'Ashe**Leblanc',201
878,'Khazix**Yone',201
879,'Jhin**Riven',201
880,'Lucian**Viktor',201
881,'Darius**Viego',201
882,'Lucian**Talon',201
883,'MissFortune**Nami',200
884,'Diana**Leona',200
885,'Morgana**Nasus',200
886,'MissFortune**Nunu',200
887,'LeeSin**Mordekaiser',200
888,'Pyke**Teemo',200
889,'Ashe**Jax',200
890,'Ekko**Malphite',199
891,'Soraka**Yasuo',199
892,'Leona**Mordekaiser',199
893,'MasterYi**Mordekaiser',199
894,'Brand**Yone',199
895,'Irelia**Yone',199
896,'Sett**Talon',199
897,'Akali**Blitzcrank',199
898,'Fiora**Kaisa',199
899,'Lux**MonkeyKing',199
900,'Katarina**Lucian',199
901,'Ashe**Nocturne',198
902,'Akali**Senna',198
903,'DrMundo**Vayne',198
904,'Kaisa**Talon',198
905,'Ezreal**Veigar',198
906,'Leblanc**Sett',198
907,'Nautilus**Sylas',198
908,'Akali**Yasuo',197
909,'Jax**LeeSin',197
910,'Caitlyn**Soraka',197
911,'Chogath**Jhin',197
912,'Fiora**MissFortune',197
913,'Katarina**Leona',197
914,'Caitlyn**Nunu',197
915,'Fiora**LeeSin',197
